"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","1","mas-0.log","18","18","50799435",,"http://127.0.1.1:8080/maze","http://127.0.1.1:8080/cells/0","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","2","mas-0.log","33","33","50799589","154","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/0/2","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","3","mas-0.log","48","48","50799739","150","http://127.0.1.1:8080/cells/0/2","http://127.0.1.1:8080/cells/1/2","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","4","mas-0.log","65","65","50799902","163","http://127.0.1.1:8080/cells/1/2","http://127.0.1.1:8080/cells/2/2","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","5","mas-0.log","82","82","50800044","142","http://127.0.1.1:8080/cells/2/2","http://127.0.1.1:8080/cells/2/3","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","6","mas-0.log","97","97","50800182","138","http://127.0.1.1:8080/cells/2/3","http://127.0.1.1:8080/cells/2/4","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","7","mas-0.log","112","112","50800329","147","http://127.0.1.1:8080/cells/2/4","http://127.0.1.1:8080/cells/1/4","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","8","mas-0.log","127","127","50800468","139","http://127.0.1.1:8080/cells/1/4","http://127.0.1.1:8080/cells/1/5","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","9","mas-0.log","143","143","50800601","133","http://127.0.1.1:8080/cells/1/5","http://127.0.1.1:8080/cells/1/6","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","10","mas-0.log","158","158","50800722","121","http://127.0.1.1:8080/cells/1/6","http://127.0.1.1:8080/cells/1/7","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","11","mas-0.log","172","172","50800847","125","http://127.0.1.1:8080/cells/1/7","http://127.0.1.1:8080/cells/1/6","0","0"
"baseline-vs-ccrs-v1","001-baseline","dfs_baseline.jcm","none","dfs_baseline_nesw_1","12","mas-0.log","188","188","50800972","125","http://127.0.1.1:8080/cells/1/6","http://127.0.1.1:8080/cells/2/6","0","0"
